Song Title,Artist,Song URL,Lyrics
despacito remix,Luis Fonsi,https://genius.com/Luis-fonsi-and-daddy-yankee-despacito-remix-lyrics,despacito despacito se trata de una relaci sexual ntica entre do persona palabra despacito lentamente indica como e el romance en relaci e un remix de popular canci de luis fonsi justin bieber luis fonsi move direction thankful blessin turn every situation heaven sunrise darkest day feelin kind way wan savor every moment slowly slowly fit tailor made love put key turn way nibble ear word wan hear baby take slow last long verso luis fonsi daddy yankee eres el im soy el metal voy acercando voy armando el plan solo con pensarlo se acelera el pulso ya ya est gustando de lo normal todos mi sentidos van pidiendo esto hay que tomarlo sin ning apuro coro justin bieber luis fonsi daddy yankee despacito quiero respirar tu cuello despacito deja que te diga cosas al para que te acuerdes si est conmigo despacito quiero desnudarte besos despacito firmo en la paredes de tu laberinto hacer de tu cuerpo todo un manuscrito ah coro luis fonsi daddy yankee quiero ver bailar tu pelo quiero ser tu ritmo que le ense e mi boca tus lugares favoritos jame sobrepasar tus zona de peligro hasta provocar tus gritos que olvides tu apellido si te pido un beso ven melo que est pen ndolo llevo tiempo intent ndolo mami esto e dando ndolo sabes que tu coraz conmigo te hace bam bam sabes que esa beba est buscando de mi bam bam ven prueba de mi boca para ver mo te sabe quiero quiero quiero ver cu nto amor ti te cabe tengo prisa quiero dar el viaje empezamos lento despu salvaje coro daddy yankee daddy yankee justin bieber pasito pasito suave suavecito no vamos pegando poquito poquito cuando besas con esa destreza veo que eres malicia con delicadeza pasito pasito suave suavecito no vamos pegando poquito poquito e que esa belleza e un rompecabezas pero pa montarlo aqu tengo pieza oye coro justin bieber luis fonsi daddy yankee despacito quiero respirar tu cuello despacito deja que te diga cosas al para que te acuerdes si est conmigo despacito quiero desnudarte besos despacito firmo en la paredes de tu laberinto hacer de tu cuerpo todo un manuscrito ah coro luis fonsi daddy yankee quiero ver bailar tu pelo quiero ser tu ritmo que le ense e mi boca tus lugares favoritos jame sobrepasar tus zona de peligro hasta provocar tus gritos que olvides tu apellido despacito puerto rico wan hear screaming bendito move forever cuando est contigo daddy yankee luis fonsi justin bieber pasito pasito suave suavecito no vamos pegando poquito poquito que le ense e mi boca tus lugares favoritos pasito pasito suave suavecito no vamos pegando poquito poquito hasta provocar tus gritos que olvides tu apellido despacito
rap god,Eminem,https://genius.com/Eminem-rap-god-lyrics,rap god rap god eminem braggadocious ode career six minute run time reference comic book throw back old song rap crazily fast rolling stone look gon easy hurt feeling going one chance six minute six minute something wrong feel six minute slim shady feeling something happen mean think mean trouble big trouble banana taking chance doc ordered beginnin feel rap god rap god people front back nod back nod think arm long enough slap box slap box said rap robot call rap bot rap computer must gene laptop back pocket pen half cock fat knot rap profit made livin killin ever since bill clinton still office monica lewinsky feelin nutsack mc still honest rude indecent hell syllable skill holic kill em flippity dippity hippity hip hop really wan pissin match rappity brat packin mac back ac backpack rap crap yap yap yackety yack exact time attempt lyrical acrobat stunt practicin still able break motherfuckin table back couple faggot crack half realized ironic signed aftermath fact could blow drop bomb feel wrath attack rapper havin rough time period maxi pad actually disastrously bad wack masterfully constructing masterpi ce beginnin feel rap god rap god people front back nod back nod think arm long enough slap box slap box show maintainin shit hard hard everybody want key secret rap immortality well truthful blueprint simply rage youthful exuberance everybody love root nuisance hit earth asteroid nothing shoot moon since mc taken school music use vehicle bus rhyme lead new school full student product rakim lakim shabazz pac cube doc ren yella eazy thank slim inspired enough one day grow blow position meet run induct motherfuckin rock roll hall fame even though walk church burst ball flame hall fame inducted alcohol fame wall shame fag think game til walk flock flame plank fuck thinkin little gay lookin gay barely straight face lookin witnessin mass occur watching church gathering take place lookin oy vey gay lookin thumb pat back way label every day lookin lookin lookin hell dre lookin work everything never asked nobody shit outta face lookin basically never gon capable keepin pace lookin beginnin feel rap god rap god people front back nod back nod way racin around track call nascar nascar dale earnhardt trailer park white trash god kneel general zod planet krypton asgard asgard thor odin rodent omnipotent reloadin immediately bomb totin woken walkin dead talkin head zombie floatin mom deep throatin ramen noodle nothin common poodle doberman pinch arm pay homage pupil honesty brutal honestly futile utilize though good least wan sure somewhere chicken scratch scribble doodle enough rhyme maybe try help people tough time ta keep punchlines case even unsigned rapper hungry lookin lunchtime time king underground still rap pharoahe monch grind crunch rhyme sometimes combine appeal skin color mine big tryin censor one line said back mathers lp tried take seven kid columbine put em line add ak revolver away big morphin immortal comin portal stuck time warp though fuck rhyme pointless rapunzel fuckin cornrows write normal fuck normal bought new raygun future shoot ya fabolous made ray mad fab said looked fag mayweather pad singin played piano special cable channel ray went straight radio station next day fab kill comin supersonic speed fad summa lumma dooma lumma assumin human ta superhuman innovative made rubber anything ricochetin glue devastating ever demonstrating give motherfuckin audience feeling levitating never fading hater forever waiting day fell celebrating way em motivated elevating music elevator music mainstream well jealous confuse hip hop pop found hella way fuse rock shock rap doc throw lose em lose song word use occurs rippin one verse versus curtain inadvertently hurtin many verse ta murder prove half nice song could sacrifice virgin ugh school flunky pill junkie look accolade skill brung full still hungry bully put mind million league ill speak tongue still tongue cheek fuck drunk satan take fucking wheel sleep front seat bumpin heavy boyz still chunky funky head something feel tugging struggling angel fight devil want askin eliminate woman hate take consideration bitter hatred may little patient sympathetic situation understand discrimination fuck life handin lemon lemonade batter woman fuck supposed bake em cake mistake satan fatal mistake think need overseas take vacation trip broad fall face retard king think king god
lose,Eminem,https://genius.com/Eminem-lose-yourself-lyrics,lose lose theme song eminem semi biographical movie mile eminem narrating life film protagonist jimmy third jimmy eminem journey look one shot one opportunity seize everything ever wanted one moment would capture slip palm sweaty knee weak arm heavy vomit sweater already mom spaghetti nervous surface look calm ready drop bomb keep forgetting wrote whole crowd go loud open mouth word chokin everybody jokin clock run time blaow snap back reality ope go gravity ope go rabbit choked mad give easy know whole back rope matter dope know broke stagnant know go back mobile home back lab old rhapsody better capture moment hope pas better lose music moment better never one shot miss chance blow opportunity come lifetime better lose music moment better never one shot miss chance blow opportunity come lifetime better soul escaping hole gaping world mine taking king move toward new world order normal life boring superstardom close mortem grows harder homie grows hotter blow hoe coast coast show known globetrotter lonely road god know grown farther home father go home barely know daughter hold nose go cold water hoe want mo cold product moved next schmoe flow nose dove sold nada soap opera told unfolds suppose old partner go dom dom dah dah dah dah better lose music moment better never one shot miss chance blow opportunity come lifetime better lose music moment better never one shot miss chance blow opportunity come lifetime better game change call rage tear motherfuckin roof two dog caged playin beginning mood changed chewed spit booed stage kept rhymin stepped right next cypher best believe somebody payin pied piper pain inside amplified fact nine five provide right type life family goddamn food stamp buy diaper movie mekhi phifer life time hard gettin even harder tryna feed water seed plus teeter totter caught bein father prima donna baby mama drama screamin much wan stay one spot another day monotony gotten point snail formulate plot end jail shot success motherfuckin option failure mom love trailer grow old salem lot shot foot fail may opportunity better lose music moment better never one shot miss chance blow opportunity come lifetime better lose music moment better never one shot miss chance blow opportunity come lifetime better anything set mind
like u,Kendrick Lamar,https://genius.com/Kendrick-lamar-not-like-us-lyrics,u u kendrick lamar fourth dis track directed drake released evening may less hour release meet graham third dedicated dis psst dead people mustard ho mustard ho deebo rap free throw call amberlamps breathe bro nail cross walk around teezo jabroni as tryna compton industry hate fuck em mama many opps really mean many option finna pas body john stockton as hide bible god watchin sometimes ta pop show certified boogeyman one score em walk whole time ho pole extort shit bully death row drake hear em young better ever cell block one talk love sure hide lil sister chubbs one hand down party party playin nose baka weird case around certified lover certified pedophile wop wop wop wop wop dot fuck em wop wop wop wop wop stuff trollin tired tryna strike chord probably minor u u u u u u think bay gon disrespect pac think oakland show gon last stop cole foul still pretendin owl bird burnt bitch audience dumb shape story want drake slow rabbit hole still deep promise somethin rad stand malibu wanted law ball fetch gatorade somethin since jumpin wedgie flipped boxer ovo vaginal option pussy better straighten posture famous compton might write doctorate pop star quit hidin fuck caption want action accident hand fuck around polished fucked wayne jail connivin face tatted apologizin glad deroz came home deserve neither alondra central better speak serena homeboy need subpoena predator move flock name ta registered placed neighborhood watch lean another line wock eye send pac put wrong label em dropped sweet chin music pas aux many stock really stock one two three four five plus five devil lie god freaky as need stay as inside roll as fresh pack za city back must outside u u u u u u upon time u chain homie still doubled callin u slave atlanta mecca buildin railroad train bear second put game settler usin townfolk em richer fast forward agenda run atlanta need check balance break real challenge called future club lil baby helped lingo gave false street cred thug made feel slime head quavo said northside chainz good lied run atlanta need dollar colleague fuckin colonizer family matter truth matter god plan show liar mm mm mm fan fan fan fan fan freaky as god freaky as god run life run life freaky as god freaky as god run life run life hear ov ho ov ho ov ho ov ho step way step way step way step way friend locked step way step way step way step way
wap,Cardi B,https://genius.com/Cardi-b-wap-lyrics,wap wap cardi fourth number hit billboard first release first single since press expected appear upcoming second studio album cardi al mclaran megan thee stallion whore house whore house whore house whore house said certified freak seven day week wet as pussy pullout game weak ah fuckin wet as pussy bring bucket mop wet as pussy give everything wet as pussy cardi megan thee stallion catch charge extra large extra hard put pussy right face swipe nose credit card hop top wan ride kegel inside spit mouth look eye pussy wet take dive tie surprise roleplay wear disguise want park big mack truck right little garage cream scream public scene cook clean ring gobble swallow drip side quick jump fore inside put never bout run fore runnin talk shit bite lip ask car ride dick really never ta fuck thang already made mind fore came boot coat wet as pussy bought phone picture wet as pussy paid tuition kiss wet as pussy rain wan wet as pussy cardi megan thee stallion look need hard hitter need deep stroker need henny drinker need weed smoker garter snake need king cobra hope lean money headed pussy credit beard well tryna wet taste diabetic wan spit wan gulp wan gag wan choke want touch lil dangly thing swing back throat head game fire punani dasani goin dry comin soggy ride thing cop behind ah spit mic tryna sign honor freak handcuff leash switch wig feel cheatin put knee give somethin believe never lost fight lookin beatin food chain one eat ya ate as bottom feeder big stand big demeanor could ya bust ever meet ya hang bang hurt feeling pain fuck ask whose ride dick spell name ah fuckin wet as pussy bring bucket mop wet as pussy give everything wet as pussy top drop wet as pussy bucket mop wet as pussy talkin wap wap wap wet as pussy macaroni pot wet as pussy al mclaran whore house whore house whore house whore house whore house whore house whore house whore house whore house whore house
shape,Ed Sheeran,https://genius.com/Ed-sheeran-shape-of-you-lyrics,shape ed sheeran released shape together castle hill two song first release third album following mathematical footstep club best place find lover bar friend table doin shot drinkin fast talk slow start conversation trust give chance take hand stop put van jukebox start dance singin want love love handmade somebody well follow lead may crazy mind talk much grab waist put body well follow lead follow lead mm love shape push pull magnet although heart fallin love body last night room bed sheet smell every day discoverin somethin brand new well love body well love body well love body well love body every day discoverin somethin brand new love shape one week story begin goin first date thrifty eat fill bag fill plate talk hour hour sweet sour family doin okay leave taxi kiss back seat driver radio play singin want love love handmade somebody well follow lead may crazy mind talk much grab waist put body well follow lead follow lead mm love shape push pull magnet although heart fallin love body last night room bed sheet smell every day discoverin somethin brand new well love body well love body well love body well love body every day discoverin somethin brand new love shape baby baby baby baby baby baby baby baby love shape push pull magnet although heart fallin love body last night room bed sheet smell every day discoverin somethin brand new well love body baby baby love body baby baby love body baby baby love body every day discoverin somethin brand new love shape
mockingbird,Eminem,https://genius.com/Eminem-mockingbird-lyrics,mockingbird possibly least offensive eminem song ever encore track directed dedicated daughter eminem acknowledges growing medium image kim drug problem made sometimes thing may always sense right daddy always straighten little soldier stiffen upper lip cryin hailie miss mom miss dad gone tryin give life never sad even smile even laugh eye deep inside wan cry scared daddy wit prayer cryin wipe tear daddy nightmare gon pull together gon lainie uncle crazy love better world spin swirl whirl twirl two little beautiful girl lookin puzzled daze confusin daddy always move mama always news try keep sheltered somehow seems harder try backfire thing growin daddy daddy want much plan way mother thing bad u u ever bein together ever used teenager course everything always happens reason guess never meant somethin control destiny worry rest head sleep maybe one day wake dream hush little baby cry everything gon alright stiffen upper lip little lady told ya daddy hold ya night mommy right feel feel inside may seem little crazy pretty baby promise mama gon alright heh funny remember back one year daddy money mommy wrapped christmas present stuck em tree said em daddy buy em never forget christmas sat whole night cry daddy felt bum daddy job job keep food table mom time every house lived either kept gettin broken robbed shot block mom savin money jar tryin start piggy bank could college almost thousand dollar til someone broke stole hurt bad broke mama heart seemed everything startin fall apart mom dad arguin lot mama moved back onto chalmers flat one bedroom apartment dad moved back side mile novara daddy went california cd met dr dre flew mama daddy work mama leave started seein daddy tv mama lainie young understand papa rolling stone mama developed habit happened fast either one u grab sorry witness firsthand ever wanted proud sittin empty house reminiscin lookin baby picture trip much grown almost sister wow guess pretty much daddy still lainie talkin daddy still sound ring shh mama gone moment hush little baby cry everything gon alright stiffen upper lip little lady told ya daddy hold ya night mommy right feel feel inside may seem little crazy pretty baby promise mama gon alright ask daddy gon buy mockingbird give world buy diamond ring sing anything smile mockingbird sing ring shine break birdie neck back jeweler sold ya eat every carat fuck dad
without,Eminem,https://genius.com/Eminem-without-me-lyrics,dansk without eminem show lead single show eminem realization importance rap game claim without without recognized one densest rap obie trice eminem obie trice real name gimmick ra two trailer park girl round outside round outside round outside two trailer park girl round outside round outside round outside guess back back shady back friend guess back guess back guess back guess back guess back guess back guess back created monster nobody want marshall want shady chopped liver well want shady give ya little bit weed mixed hard liquor vodka jump start heart quicker shock shocked hospital doctor cooperating rockin table operating waited long stop debating back rag ovulating job m cheney husband heart problem complicating fcc tried shut mtv feel empty without dip bum lip fuck cum lip tit ready shit heavy settled lawsuit look job everybody follow need little controversy feel empty without said look job everybody follow need little controversy feel empty without little hellion kid feelin rebellious embarrassed parent still listen elvis start feelin prisoner helpless til someone come along mission yell visionary vision scary could start revolution pollutin airwave rebel revel bask fact everyone kissin as disaster catastrophe damn much as asked well back fix bent antenna tune gon enter skin splinter center attention back winter interesting best thing since wrestling infesting kid ear nesting testing attention please feel tension soon someone mention ten cent two cent free nuisance sent sent look job everybody follow need little controversy feel empty without said look job everybody follow need little controversy feel empty without tisket tasket tit tat wit anybody talkin shit shit chris kirkpatrick as kicked worse little limp bizkit bastard moby stomped obie thirty six year old bald headed fag blow old nobody listens techno give signal whole list full new insult dope suspenseful pencil ever since prince turned symbol sometimes shit seems everybody want discus must mean disgusting obscene though first king controversy worst thing since elvis presley black music selfishly use wealthy concept work twenty million white rapper emerge matter many fish sea empty without look job everybody follow need little controversy feel empty without said look job everybody follow need little controversy feel empty without hum dei dei hum dei dei kid
humble,Kendrick Lamar,https://genius.com/Kendrick-lamar-humble-lyrics,humble ironically braggadocious track humble kendrick lamar challenge competition released week first promotional single heart music video directed dave nobody pray day way remember syrup sandwich crime allowance finesse counterfeit countin parmesan accountant life fact downin us boo bae taste kool aid analyst buy as world paystub pussy good sit taste blood way petty extra pull block break playin tetri funk piss per diem ta hate em funk quit bm still ride mercedes funk quit season still greatest funk left stroke went viral right stroke put lil baby spiral soprano keep high note level humble sit humble sit humble sit humble sit humble sit humble sit humble sit humble sit thinkin frontin fuck stage sandman fuck dick right play fucking whole life fuckin sick tired photoshop show somethin natural afro richard pryor show somethin natural as stretch mark still take right mama couch polo sock shit way crazy amaze blew cool ac obama paged fabricate fakin stay modest bout elaborate grey poupon evian ted talk watch soul speak med talk kill alcohol realest humble sit humble sit humble sit humble sit humble sit humble sit humble sit humble sit
euphoria,Kendrick Lamar,https://genius.com/Kendrick-lamar-euphoria-lyrics,bosanski ti ng vi euphoria euphoria serf kendrick highly anticipated response drake april dis track push ups taylor made freestyle came kendrick targeted drake cole future metro eurt em tuoba yas yeht gnihtyreve euphoria super power gettin neutralized watch silence famous actor knew lookin paranoid spiralin movin degenerate every antic feelin distasteful calculate calculated even predict angle fabricatin story family front heard mr morale pathetic master manipulator smell tale rap artist scam artist hope acc pted tommy hilfiger stood fubu never collection music electrify em music pacify em double line spare time random act kindness master manipulator habitual liar lie truth bout shoo shoo shoo shoo shoo shoo bee bee bee bee bee bee way low okay island right remote okay thinkin reaper reapin sow okay benjamin jackson house joe okay hellcat made homeboy type sell soul okay everybody wan demon til chipped throwaway might show day lame always lame thought money power fame would away ever played ever okay play ever walked enemy poker face ever paid five hundred thou open case well failed came straight hate rapper talk gun somebody die turn nun hop online pray city fakin like digital hug daddy killer wan junior must forgot shit done dementia must run family shaky park son first time shot drac homie told aim way point enough today show learned mistake somebody told ring god ready double wage rather canadian pac turn grave cutthroat business shit twisted braid hurt feeling wan work okay three goat left seen two kissin huggin stage love em death eight bar explain phrase nothin nobody wan talk celly language barrier accent sell cole aubrey selfish crown heavy pray real friend ynw melly poppin shit pharrell inherit beef fuck pushin push better spinnin think pushin terrence thornton terence crawford whoopin foot ta personal friendly fade keep way shit gunna wunna look saint critic gimmick greatest always love hate biggest hater hate way walk way talk hate way dress hate way sneak dis catch flight gon direct hate bitch fuck confuse themself real woman notice said culture feelin many fairytale story bout life til enough many black feature til finally feel black enough drake melody drake act tough gon bring back puff chubbs really crash somethin first one last one classic one core audience stomach em ab fast one baow baow baow last one headshot year better walk around daft punk remember top dawg fuck think playin extortion middle name soon jump plane allergic lame shit bein famous yachty give swag neither give fuck bout hang hate way walk way talk hate way dress surprised wanted feature request shit address even hate word guess shit cringeworthy even ta deep guess still love success everything blessed keep makin dance wavin hand threat knowin call seen yet matter fact even bleed yet bleed stand sexyy red believe two bad bitch believe woman real competition might pop as em speak percentage show split sure double back ya signed signed said signed try cease desist record ho record back back record back record would call around tryna dirt think life rap ho shit son raise nothin bout wakin nothin bout pray nothin bout givin tool walk life day day nothin bout teachin moral integrity discipline listen nothin bout speakin truth consider god considerin nothin bout twenty one one twenty ta smack write bring em clean em beam better stay right battlin ghost ai feelin joe hale osteen funny film called sixth sense tellin blick coffin ov ho dick rider em run america imitate heritage imitate violence learned west coast fine push line pick one time three hour time difference speak family crodie deep family crodie talk family crodie someone gon bleed family crodie new ho king eatin fried rice dip sauce blammy crodie cheesin fam right camera crodie fuck trust wave one finger thump mmm field goal punt punk nobody never took food whoever fuckin fuck fuck industry take takin psst something wan wan hear wan hear stop
